      apsza    band      o3      aod    dif1                dif2                dif3                dif4                dif5                dif6 
       8.0     325.0     0.0     0.0   -0.1800591531E+05    0.1812386015E+05    0.9803115118E+02    0.1811099893E+05   -0.2121155286E+02   -0.1099691019E+03
       8.0     330.0     0.0     0.0   -0.2371829626E+05    0.2386300373E+05    0.1271477823E+03    0.2384507787E+05   -0.2466588377E+02   -0.1340818729E+03
       8.0     335.0     0.0     0.0   -0.2311656354E+05    0.2324806332E+05    0.1219321969E+03    0.2322974292E+05   -0.2104489211E+02   -0.1213310164E+03
       8.0     340.0     0.0     0.0   -0.2679891754E+05    0.2694288271E+05    0.1404232859E+03    0.2692083089E+05   -0.2134815198E+02   -0.1331486728E+03
       8.0     345.0     0.0     0.0   -0.2710026343E+05    0.2723857399E+05    0.1410683768E+03    0.2721561094E+05   -0.1889479270E+02   -0.1285796082E+03
       8.0     350.0     0.0     0.0   -0.2967088344E+05    0.2981300865E+05    0.1511992571E+03    0.2978765355E+05   -0.1773159314E+02   -0.1329600829E+03
       8.0     355.0     0.0     0.0   -0.3216720182E+05    0.3231528020E+05    0.1635028972E+03    0.3228713010E+05   -0.1676065390E+02   -0.1395361505E+03
       8.0     360.0     0.0     0.0   -0.2980213759E+05    0.2993367810E+05    0.1506316937E+03    0.2990710552E+05   -0.1327319805E+02   -0.1250340673E+03
       8.0     365.0     0.0     0.0   -0.3940465610E+05    0.3957092305E+05    0.1966087103E+03    0.3953560158E+05   -0.1482459013E+02   -0.1595851139E+03
       8.0     370.0     0.0     0.0   -0.4103050230E+05    0.4119792570E+05    0.2037866720E+03    0.4116064119E+05   -0.1303479773E+02   -0.1622082816E+03
       8.0     375.0     0.0     0.0   -0.3844637877E+05    0.3859707958E+05    0.1885610304E+03    0.3856202370E+05   -0.9971887996E+01   -0.1475690907E+03
       8.0     380.0     0.0     0.0   -0.4391623804E+05    0.4408443699E+05    0.2156130945E+03    0.4404376734E+05   -0.9335680630E+01   -0.1663258713E+03
       8.0     385.0     0.0     0.0   -0.3562287923E+05    0.3575465450E+05    0.1732144435E+03    0.3572155151E+05   -0.5770783223E+01   -0.1318083706E+03
       8.0     390.0     0.0     0.0   -0.4671549683E+05    0.4688420548E+05    0.2264598537E+03    0.4684043619E+05   -0.5595483902E+01   -0.1706054552E+03
       8.0     395.0     0.0     0.0   -0.3691434763E+05    0.3704308690E+05    0.1763401488E+03    0.3700860231E+05   -0.2934930037E+01   -0.1315308796E+03
       8.0     400.0     0.0     0.0   -0.6697279058E+05    0.6720367545E+05    0.3219633643E+03    0.6714023686E+05   -0.2868323024E+01   -0.2387749192E+03
       8.0     450.0     0.0     0.0   -0.8189799016E+05    0.8214232484E+05    0.3846958125E+03    0.8206171268E+05    0.1820605189E+02   -0.2802946453E+03
       8.0     550.0     0.0     0.0   -0.7903939142E+05    0.7925259859E+05    0.3711488439E+03    0.7917089053E+05    0.3934014893E+02   -0.2799773110E+03
       8.0     650.0     0.0     0.0   -0.6193574572E+05    0.6209891369E+05    0.2942921352E+03    0.6203187838E+05    0.4144428332E+02   -0.2308664300E+03
       8.0     750.0     0.0     0.0   -0.4444719712E+05    0.4456416366E+05    0.2144036606E+03    0.4451347007E+05    0.3569815364E+02   -0.1724779156E+03
      16.0     290.0     0.0     0.0    0.1401929779E+01   -0.1343164870E+01    0.3449607800E-01   -0.1339582616E+01   -0.9768074000E-02   -0.7921560100E-01
      16.0     295.0     0.0     0.0    0.2171900599E+02   -0.2036439752E+02    0.8323203510E+00   -0.2034428279E+02   -0.2439566900E+00   -0.1646803904E+01
      16.0     300.0     0.0     0.0    0.9126894712E+02   -0.8320048456E+02    0.5214457480E+01   -0.8339588722E+02   -0.1534936478E+01   -0.8927732244E+01
      16.0     305.0     0.0     0.0    0.1928011473E+03   -0.1630979517E+03    0.2021786693E+02   -0.1647342289E+03   -0.5826846109E+01   -0.3054518000E+02
      16.0     310.0     0.0     0.0    0.2014978340E+03   -0.1487323557E+03    0.3802354111E+02   -0.1530151296E+03   -0.1038074841E+02   -0.5142641763E+02
      16.0     315.0     0.0     0.0    0.3105697967E+03   -0.2346204566E+03    0.5795373645E+02   -0.2424771840E+03   -0.1462179446E+02   -0.7148277062E+02
      16.0     320.0     0.0     0.0    0.3749083785E+03   -0.2821249493E+03    0.7542784970E+02   -0.2937554821E+03   -0.1714892737E+02   -0.8518470662E+02
      16.0     325.0     0.0     0.0    0.2086095357E+03   -0.9426346156E+02    0.9892880267E+02   -0.1110629659E+03   -0.1994333991E+02   -0.1032155212E+03
      16.0     330.0     0.0     0.0    0.8302284441E+03   -0.6896712180E+03    0.1285388700E+03   -0.7129486322E+03   -0.2280864549E+02   -0.1261059727E+03
      16.0     335.0     0.0     0.0    0.1642322687E+04   -0.1513405350E+04    0.1236103434E+03   -0.1536122080E+04   -0.1895274599E+02   -0.1174902917E+03
      16.0     340.0     0.0     0.0    0.1122793467E+04   -0.9823215637E+03    0.1422229268E+03   -0.1010647995E+04   -0.1897160245E+02   -0.1259914156E+03
